price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,view,condition,grade,sqft_above,yr_built,yr_renovated,zipcode,basement,Renovated,age_when_sold,distance_from_seattle_km,distance_from_nearest_hotspot,year_last_renovated,time_since_renovated,total_rooms,condition_grade,sqft_total,price_o,rooms_cg,condition_grade_sq,time_since_renovated_sq
12.309982108920686,3,1.0,7.07326971745971,5650,1.0,0,3,7,1180,1955,0,98178,0,0,59,2.482941854513288,2.6628818088642383,1955.0,60.0,4.0,10,7.07326971745971,221900.00000000006,14.0,100,3600.0
13.195613839143922,3,2.25,7.851661177889265,7242,2.0,0,3,7,2170,1951,1991,98125,1,1,63,2.5499792642624075,2.2887847787835054,1991.0,24.0,5.25,10,8.851661177889266,538000.0000000003,15.25,100,576.0
12.100712129872347,2,1.0,6.646390514847729,10000,1.0,0,3,6,770,1933,0,98028,0,0,82,2.7986288438828137,2.3110318964467216,1933.0,82.0,3.0,9,6.646390514847729,179999.99999999997,12.0,81,6724.0
13.311329476916953,4,3.0,7.580699752224563,5000,1.0,0,5,7,1050,1965,0,98136,1,0,49,2.35532376436819,2.2914859525065263,1965.0,50.0,7.0,12,8.580699752224563,604000.0000000005,19.0,144,2500.0
13.142166004700508,3,2.0,7.426549072397305,8080,1.0,0,3,8,1680,1987,0,98074,0,0,28,3.07087431716751,1.540105676925834,1987.0,28.0,5.0,11,7.426549072397305,509999.99999999977,16.0,121,784.0
12.458774999085929,3,2.25,7.44716835960004,6819,2.0,0,3,7,1715,1995,0,98003,0,0,19,3.4959581918867846,2.5727198543774246,1995.0,20.0,5.25,10,7.44716835960004,257500.0000000002,15.25,100,400.0
12.583995250631936,3,1.5,6.966024187106113,9711,1.0,0,3,7,1060,1963,0,98198,0,0,52,3.087244313468718,1.7580538596852961,1963.0,52.0,4.5,10,6.966024187106113,291849.99999999977,14.5,100,2704.0
12.343658308482738,3,1.0,7.484368643286131,7470,1.0,0,3,7,1050,1960,0,98146,1,0,55,2.3466933880560465,2.4073554599080667,1960.0,55.0,4.0,10,8.484368643286132,229500.00000000017,14.0,100,3025.0
12.685407602204794,3,2.5,7.5443321080536885,6560,2.0,0,3,7,1890,2003,0,98038,0,0,12,3.5499409804860425,3.234618584785167,2003.0,12.0,5.5,10,7.5443321080536885,323000.0000000002,15.5,100,144.0
13.403775836842515,3,2.5,8.177515823846075,9796,1.0,0,3,8,1860,1965,0,98007,1,0,50,2.642293246395851,1.3372848986923438,1965.0,50.0,5.5,11,9.177515823846075,662500.0000000003,16.5,121,2500.0
13.056223574899784,2,1.0,7.05617528410041,6000,1.0,0,4,7,860,1942,0,98115,1,0,72,2.2817113314686246,1.7716829262218563,1942.0,73.0,3.0,11,8.05617528410041,468000.00000000006,14.0,121,5329.0
12.644327576461329,3,1.0,7.265429723253953,19901,1.5,0,4,7,1430,1927,0,98028,0,0,87,2.909298110479924,2.4928137473192717,1927.0,88.0,4.0,11,7.265429723253953,310000.0,15.0,121,7744.0
